application_id,status,submit_time,start_time,finished_time,allocate_time,total_time,allocate_seconds,total_seconds
application_1527220447442_42517,SUCCESS,2018/05/26 02:22:18,2018/05/26 03:12:34,2018/05/26 03:49:17,00:50:16,01:26:59,3016,5219
application_1527220447442_42105,SUCCESS,2018/05/26 02:03:37,2018/05/26 03:12:27,2018/05/26 03:30:29,01:8:50,01:26:52,4130,5212
application_1527220447442_43368,SUCCESS,2018/05/26 02:37:00,2018/05/26 03:53:53,2018/05/26 04:03:51,01:16:53,01:26:51,4613,5211
application_1527220447442_44521,SUCCESS,2018/05/26 03:16:33,2018/05/26 04:10:33,2018/05/26 04:43:04,00:54:0,01:26:31,3240,5191
application_1527220447442_43020,SUCCESS,2018/05/26 02:32:22,2018/05/26 03:53:52,2018/05/26 03:58:50,01:21:30,01:26:28,4890,5188
application_1527220447442_42131,SUCCESS,2018/05/26 02:09:32,2018/05/26 03:12:27,2018/05/26 03:35:55,01:2:55,01:26:23,3775,5183
application_1527220447442_42135,SUCCESS,2018/05/26 02:09:37,2018/05/26 03:12:28,2018/05/26 03:35:55,01:2:51,01:26:18,3771,5178
application_1527220447442_42133,SUCCESS,2018/05/26 02:09:37,2018/05/26 03:12:28,2018/05/26 03:35:55,01:2:51,01:26:18,3771,5178
application_1527220447442_43418,SUCCESS,2018/05/26 02:38:21,2018/05/26 03:53:54,2018/05/26 04:04:21,01:15:33,01:26:0,4533,5160
application_1527220447442_43402,SUCCESS,2018/05/26 02:38:09,2018/05/26 03:53:53,2018/05/26 04:04:04,01:15:44,01:25:55,4544,5155
application_1527220447442_43400,SUCCESS,2018/05/26 02:38:12,2018/05/26 03:53:53,2018/05/26 04:04:04,01:15:41,01:25:52,4541,5152
application_1527220447442_45240,SUCCESS,2018/05/26 03:38:31,2018/05/26 04:10:22,2018/05/26 05:04:22,00:31:51,01:25:51,1911,5151
application_1527220447442_43435,SUCCESS,2018/05/26 02:39:16,2018/05/26 03:53:54,2018/05/26 04:04:27,01:14:38,01:25:11,4478,5111
application_1527220447442_43432,SUCCESS,2018/05/26 02:39:11,2018/05/26 03:53:54,2018/05/26 04:04:22,01:14:43,01:25:11,4483,5111
application_1527220447442_43426,SUCCESS,2018/05/26 02:39:16,2018/05/26 03:53:54,2018/05/26 04:04:22,01:14:38,01:25:6,4478,5106
application_1527220447442_43028,SUCCESS,2018/05/26 02:33:47,2018/05/26 03:53:52,2018/05/26 03:58:50,01:20:5,01:25:3,4805,5103
application_1527220447442_43451,SUCCESS,2018/05/26 02:39:42,2018/05/26 03:53:54,2018/05/26 04:04:27,01:14:12,01:24:45,4452,5085
application_1527220447442_42108,SUCCESS,2018/05/26 02:06:07,2018/05/26 03:12:28,2018/05/26 03:30:29,01:6:21,01:24:22,3981,5062
application_1527220447442_43456,SUCCESS,2018/05/26 02:40:12,2018/05/26 03:53:54,2018/05/26 04:04:27,01:13:42,01:24:15,4422,5055
