application_id,status,submit_time,start_time,finished_time,allocate_time,total_time
application_1527220447442_451887,SUCCESS,2018/06/01 05:25:14,2018/06/01 05:30:18,2018/06/01 05:33:24,00:5:4,00:8:10
application_1527220447442_435242,SUCCESS,2018/06/01 00:23:32,2018/06/01 00:28:03,2018/06/01 00:31:42,00:4:31,00:8:10
application_1527220447442_449082,SUCCESS,2018/06/01 04:36:29,2018/06/01 04:38:09,2018/06/01 04:44:39,00:1:40,00:8:10
application_1527220447442_450513,SUCCESS,2018/06/01 05:10:26,2018/06/01 05:16:09,2018/06/01 05:18:36,00:5:43,00:8:10
application_1527220447442_448866,SUCCESS,2018/06/01 04:33:04,2018/06/01 04:34:51,2018/06/01 04:41:14,00:1:47,00:8:10
application_1527220447442_444787,SUCCESS,2018/06/01 03:13:02,2018/06/01 03:18:25,2018/06/01 03:21:12,00:5:23,00:8:10
application_1527220447442_452242,SUCCESS,2018/06/01 05:32:46,2018/06/01 05:36:11,2018/06/01 05:40:55,00:3:25,00:8:9
application_1527220447442_451948,SUCCESS,2018/06/01 05:25:15,2018/06/01 05:30:00,2018/06/01 05:33:24,00:4:45,00:8:9
application_1527220447442_450618,SUCCESS,2018/06/01 05:10:23,2018/06/01 05:16:03,2018/06/01 05:18:32,00:5:40,00:8:9
application_1527220447442_448154,SUCCESS,2018/06/01 04:19:17,2018/06/01 04:24:50,2018/06/01 04:27:26,00:5:33,00:8:9
application_1527220447442_448713,SUCCESS,2018/06/01 04:26:22,2018/06/01 04:31:06,2018/06/01 04:34:31,00:4:44,00:8:9
application_1527220447442_451891,SUCCESS,2018/06/01 05:25:15,2018/06/01 05:29:59,2018/06/01 05:33:24,00:4:44,00:8:9
application_1527220447442_452959,SUCCESS,2018/06/01 05:46:34,2018/06/01 05:53:54,2018/06/01 05:54:43,00:7:20,00:8:9
application_1527220447442_452220,SUCCESS,2018/06/01 05:31:26,2018/06/01 05:35:31,2018/06/01 05:39:35,00:4:5,00:8:9
application_1527220447442_453668,SUCCESS,2018/06/01 06:05:12,2018/06/01 06:07:41,2018/06/01 06:13:20,00:2:29,00:8:8
application_1527220447442_452269,SUCCESS,2018/06/01 05:33:22,2018/06/01 05:37:30,2018/06/01 05:41:30,00:4:8,00:8:8
application_1527220447442_445202,SUCCESS,2018/06/01 03:19:22,2018/06/01 03:23:32,2018/06/01 03:27:30,00:4:10,00:8:8
application_1527220447442_447320,SUCCESS,2018/06/01 04:10:52,2018/06/01 04:16:13,2018/06/01 04:19:00,00:5:21,00:8:8
application_1527220447442_452232,SUCCESS,2018/06/01 05:32:47,2018/06/01 05:36:28,2018/06/01 05:40:55,00:3:41,00:8:8
application_1527220447442_456165,SUCCESS,2018/06/01 06:41:20,2018/06/01 06:44:35,2018/06/01 06:49:28,00:3:15,00:8:8
application_1527220447442_448661,SUCCESS,2018/06/01 04:25:45,2018/06/01 04:29:06,2018/06/01 04:33:52,00:3:21,00:8:7
application_1527220447442_439188,SUCCESS,2018/06/01 01:19:01,2018/06/01 01:22:31,2018/06/01 01:27:08,00:3:30,00:8:7
application_1527220447442_452357,SUCCESS,2018/06/01 05:36:34,2018/06/01 05:40:08,2018/06/01 05:44:41,00:3:34,00:8:7
application_1527220447442_450596,SUCCESS,2018/06/01 05:10:21,2018/06/01 05:16:04,2018/06/01 05:18:28,00:5:43,00:8:7
application_1527220447442_456295,SUCCESS,2018/06/01 06:44:46,2018/06/01 06:50:22,2018/06/01 06:52:52,00:5:36,00:8:6
application_1527220447442_452312,SUCCESS,2018/06/01 05:37:30,2018/06/01 05:40:52,2018/06/01 05:45:36,00:3:22,00:8:6
application_1527220447442_448156,SUCCESS,2018/06/01 04:19:08,2018/06/01 04:24:49,2018/06/01 04:27:14,00:5:41,00:8:6
application_1527220447442_450577,SUCCESS,2018/06/01 05:10:21,2018/06/01 05:16:44,2018/06/01 05:18:27,00:6:23,00:8:6
application_1527220447442_448109,SUCCESS,2018/06/01 04:19:08,2018/06/01 04:23:56,2018/06/01 04:27:14,00:4:48,00:8:6
application_1527220447442_456488,SUCCESS,2018/06/01 06:46:57,2018/06/01 06:53:22,2018/06/01 06:55:02,00:6:25,00:8:5
application_1527220447442_452528,SUCCESS,2018/06/01 05:42:32,2018/06/01 05:48:13,2018/06/01 05:50:37,00:5:41,00:8:5
application_1527220447442_455648,SUCCESS,2018/06/01 06:28:25,2018/06/01 06:32:48,2018/06/01 06:36:30,00:4:23,00:8:5
application_1527220447442_457739,SUCCESS,2018/06/01 07:10:28,2018/06/01 07:13:29,2018/06/01 07:18:32,00:3:1,00:8:4
application_1527220447442_455681,SUCCESS,2018/06/01 06:28:31,2018/06/01 06:33:30,2018/06/01 06:36:35,00:4:59,00:8:4
application_1527220447442_455647,SUCCESS,2018/06/01 06:28:24,2018/06/01 06:32:46,2018/06/01 06:36:28,00:4:22,00:8:4
application_1527220447442_456218,SUCCESS,2018/06/01 06:41:19,2018/06/01 06:44:32,2018/06/01 06:49:22,00:3:13,00:8:3
application_1527220447442_450979,SUCCESS,2018/06/01 05:13:44,2018/06/01 05:19:44,2018/06/01 05:21:47,00:6:0,00:8:3
application_1527220447442_434640,SUCCESS,2018/06/01 00:12:00,2018/06/01 00:16:35,2018/06/01 00:20:03,00:4:35,00:8:3
application_1527220447442_436854,SUCCESS,2018/06/01 00:43:24,2018/06/01 00:48:49,2018/06/01 00:51:27,00:5:25,00:8:3
application_1527220447442_455654,SUCCESS,2018/06/01 06:28:25,2018/06/01 06:32:43,2018/06/01 06:36:28,00:4:18,00:8:3
application_1527220447442_452833,SUCCESS,2018/06/01 05:44:10,2018/06/01 05:50:12,2018/06/01 05:52:13,00:6:2,00:8:3
application_1527220447442_449071,SUCCESS,2018/06/01 04:36:30,2018/06/01 04:38:26,2018/06/01 04:44:33,00:1:56,00:8:3
application_1527220447442_441945,SUCCESS,2018/06/01 02:20:05,2018/06/01 02:26:09,2018/06/01 02:28:08,00:6:4,00:8:3
